2026-05-06 17:39:51,623 | churn_app | ERROR | run_app.py:55 | Failed to start application: 'api'
2026-05-06 20:33:50,826 | churn_app | INFO | run_app.py:59 | Host: 127.0.0.1, Port: 8000, Debug: True

2026-05-06 20:33:50,840 | werkzeug | WARNING | _internal.py:97 |  * Debugger is active!

2026-05-06 20:33:50,843 | werkzeug | INFO | _internal.py:97 |  * Debugger PIN: 114-227-725

2026-05-06 20:34:43,560 | churn_app | INFO | run_app.py:58 |  Starting Customer Churn Web App...

2026-05-06 20:34:43,561 | churn_app | INFO | run_app.py:59 | Host: 127.0.0.1, Port: 8000, Debug: True

2026-05-06 20:34:43,593 | werkzeug | INFO | _internal.py:97 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:8000

2026-05-06 20:34:43,594 | werkzeug | INFO | _internal.py:97 | [33mPress CTRL+C to quit[0m

2026-05-06 20:34:43,596 | werkzeug | INFO | _internal.py:97 |  * Restarting with stat

2026-05-06 20:34:44,811 | churn_app | INFO | run_app.py:58 |  Starting Customer Churn Web App...

2026-05-06 20:34:44,811 | churn_app | INFO | run_app.py:59 | Host: 127.0.0.1, Port: 8000, Debug: True

2026-05-06 20:34:44,823 | werkzeug | WARNING | _internal.py:97 |  * Debugger is active!

2026-05-06 20:34:44,827 | werkzeug | INFO | _internal.py:97 |  * Debugger PIN: 114-227-725

2026-05-06 20:34:51,772 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [06/May/2026 20:34:51] "GET / HTTP/1.1" 200 -

2026-05-06 20:34:52,036 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [06/May/2026 20:34:52] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -

2026-05-06 20:34:52,068 | churn_app | ERROR | web_app.py:111 | Unhandled exception: 404 Not Found: The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.

2026-05-06 20:34:52,069 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [06/May/2026 20:34:52] "[35m[1mGET /favicon.ico HTTP/1.1[0m" 500 -

2026-05-06 20:35:24,767 | churn_app | INFO | web_app.py:43 | Received input: {'tenure': 6.0, 'MonthlyCharges': 100.0, 'TotalCharges': 600.0, 'gender': 'Female', 'Partner': 'No', 'Dependents': 'No', 'InternetService': 'No', 'Contract': 'Month-to-month', 'PaymentMethod': 'Bank transfer (automatic)'}

2026-05-06 20:35:28,020 | churn_app | INFO | model_inference.py:42 | Model loaded successfully from models/churn_model.pkl

2026-05-06 20:35:28,068 | churn_app | INFO | web_app.py:47 | Prediction result: {'prediction': 0, 'churn_probability': 0.2348, 'churn_risk': 'Low Risk'}

2026-05-06 20:35:28,070 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [06/May/2026 20:35:28] "POST /predict HTTP/1.1" 200 -

2026-05-06 20:35:28,129 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [06/May/2026 20:35:28] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -

2026-05-06 20:35:28,179 | churn_app | ERROR | web_app.py:111 | Unhandled exception: 404 Not Found: The requested URL was not found on the server. If you entered the URL manually please check your spelling and try again.

2026-05-06 20:35:28,181 | werkzeug | INFO | _internal.py:97 | 127.0.0.1 - - [06/May/2026 20:35:28] "[35m[1mGET /favicon.ico HTTP/1.1[0m" 500 -

